resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId
108,22,21,10,20,20,0,0,-1,-1,-1,4
109,23,1,1,3,1,1000,76,7242742,71,6,1
110,23,9,2,5,2,800,76,7245806,75,5,1
111,23,13,6,1,3,600,76,7247553,76,4,1
112,23,17,9,9,4,500,76,7262037,74,8,1
113,23,20,5,19,5,400,76,7267399,74,7,1
114,23,22,11,14,6,300,76,7271150,75,9,1
115,23,6,3,13,7,200,76,7272922,75,13,1
116,23,5,1,4,8,100,76,7275933,74,2,1
117,23,8,6,2,9,0,76,7276534,74,1,1
118,23,4,4,7,10,0,75,-1,73,3,11
119,23,18,11,11,11,0,75,-1,74,10,11
120,23,10,7,10,12,0,75,-1,75,11,11
121,23,15,7,8,13,0,75,-1,75,12,11
122,23,2,2,12,14,0,72,-1,72,14,14
123,23,16,10,18,15,0,67,-1,60,16,4
124,23,3,3,6,16,0,59,-1,58,15,3
125,23,12,4,17,17,0,47,-1,40,17,3
126,23,21,10,20,18,0,36,-1,33,18,6
127,23,14,9,15,19,0,7,-1,7,20,3
128,23,7,5,16,20,0,7,-1,7,19,4
129,24,9,2,2,1,1000,70,5784227,47,4,1
130,24,2,2,8,2,800,70,5800722,25,2,1
131,24,14,9,13,3,600,70,5807579,36,7,1
132,24,10,7,11,4,500,70,5826854,31,17,1
133,24,13,6,6,5,400,70,5828161,11,6,1
134,24,15,7,14,6,300,70,5832002,38,15,1
135,24,22,11,9,7,200,70,5837824,35,10,1
136,24,20,5,19,8,100,70,5838347,33,12,1
137,24,5,1,7,9,0,70,5838660,62,11,1
138,24,3,3,5,10,0,70,5838976,14,5,1
139,24,18,11,20,11,0,70,5851767,58,19,1
140,24,17,9,10,12,0,70,5855526,51,8,1
141,24,7,5,18,13,0,69,-1,34,13,11
142,24,21,10,17,14,0,51,-1,41,16,20
143,24,6,3,12,15,0,46,-1,30,14,3
144,24,4,4,4,16,0,44,-1,16,9,20
145,24,12,4,15,17,0,43,-1,16,18,23
146,24,8,6,3,18,0,19,-1,14,1,4
147,24,1,1,1,19,0,19,-1,4,3,4
148,24,16,10,16,20,0,13,-1,7,20,6
149,25,13,6,2,1,1000,70,5510245,20,2,1
150,25,8,6,1,2,800,70,5528229,16,1,1
151,25,15,7,4,3,600,70,5538495,12,7,1
152,25,5,1,10,4,500,70,5539174,46,3,1
153,25,9,2,5,5,400,70,5540757,16,4,1
154,25,17,9,6,6,300,70,5550549,22,6,1
155,25,12,4,9,7,200,70,5551278,24,10,1
156,25,4,4,3,8,100,70,5553617,39,8,1
157,25,14,9,7,9,0,70,5561266,23,12,1
158,25,1,1,13,10,0,70,5564783,40,5,1
159,25,10,7,8,11,0,70,5567945,45,13,1
160,25,20,5,12,12,0,70,5568310,36,11,1
161,25,2,2,11,13,0,70,5572324,46,9,1
162,25,22,11,20,14,0,69,-1,54,14,11
163,25,6,3,15,15,0,69,-1,60,15,11
164,25,3,3,19,16,0,69,-1,38,17,11
165,25,7,5,14,17,0,69,-1,28,16,11
166,25,21,10,17,18,0,69,-1,53,19,11
167,25,16,10,18,19,0,69,-1,41,18,11
168,25,18,11,16,20,0,16,-1,15,20,4
169,26,1,1,4,1,1000,60,5949440,16,3,1
170,26,2,2,5,2,800,60,6018017,21,2,1
171,26,22,11,16,3,600,60,6031713,21,11,1
172,26,8,6,3,4,500,59,-1,18,1,11
173,26,5,1,1,5,400,59,-1,17,5,11
174,26,4,4,6,6,300,59,-1,17,6,11
175,26,15,7,14,7,200,59,-1,22,13,11
176,26,6,3,15,8,100,59,-1,21,14,11
177,26,3,3,20,9,0,59,-1,21,16,11
178,26,17,9,2,10,0,59,-1,17,4,11
179,26,7,5,13,11,0,59,-1,21,9,11
180,26,10,7,12,12,0,59,-1,19,15,11
181,26,13,6,9,13,0,58,-1,19,8,12
182,26,9,2,10,14,0,39,-1,22,12,20
183,26,18,11,17,15,0,38,-1,21,10,20
184,26,12,4,7,16,0,35,-1,21,7,20
185,26,21,10,19,17,0,16,-1,21,17,20
186,26,16,10,18,18,0,10,-1,5,18,20
187,26,20,5,8,19,0,0,-1,-1,-1,4
188,26,14,9,11,20,0,0,-1,-1,-1,4
189,27,1,1,1,1,1000,67,5480874,17,2,1
190,27,12,4,17,2,800,67,5486460,66,9,1
191,27,13,6,2,3,600,67,5490213,19,5,1
192,27,2,2,12,4,500,67,5490699,52,1,1
193,27,5,1,3,5,400,67,5493285,63,4,1
194,27,8,6,6,6,300,67,5495277,66,3,1
195,27,9,2,7,7,200,67,5503556,17,6,1
196,27,20,5,9,8,100,67,5514173,20,8,1
197,27,15,7,4,9,0,67,5518032,17,12,1
198,27,3,3,13,10,0,67,5518499,34,15,1
199,27,4,4,5,11,0,67,5519474,17,13,1
200,27,7,5,15,12,0,67,5519985,63,10,1
201,27,14,9,10,13,0,67,5535845,18,11,1
202,27,6,3,16,14,0,67,5540877,23,17,1
203,27,16,10,19,15,0,67,5550362,66,18,1
204,27,21,10,20,16,0,67,5564967,67,20,1
205,27,18,11,14,17,0,66,-1,56,16,11
206,27,22,11,18,18,0,50,-1,30,19,4
207,27,17,9,8,19,0,40,-1,20,14,5
208,27,10,7,11,20,0,35,-1,24,7,22
209,28,5,1,2,1,1000,70,5847067,19,7,1
210,28,10,7,5,2,800,70,5858128,42,6,1
211,28,8,6,6,3,600,70,5863923,61,1,1
212,28,4,4,7,4,500,70,5868681,47,8,1
213,28,1,1,1,5,400,70,5870115,15,3,1
214,28,12,4,10,6,300,70,5879365,64,4,1
215,28,15,7,9,7,200,70,5883516,65,5,1
216,28,9,2,4,8,100,70,5895388,70,9,1
217,28,17,9,8,9,0,70,5905901,67,10,1
218,28,2,2,15,10,0,70,5914776,67,11,1
219,28,14,9,13,11,0,70,5917474,67,16,1
220,28,18,11,12,12,0,69,-1,63,13,11
221,28,6,3,16,13,0,69,-1,67,18,11
222,28,3,3,14,14,0,69,-1,57,12,11
223,28,21,10,18,15,0,69,-1,68,15,11
224,28,22,11,17,16,0,68,-1,65,14,12
225,28,13,6,3,17,0,67,-1,16,2,5
226,28,7,5,19,18,0,67,-1,29,17,13
227,28,16,10,20,19,0,62,-1,29,19,23
228,28,20,5,11,20,0,22,-1,17,20,25
229,29,13,6,1,1,1000,57,5732339,36,1,1
230,29,1,1,2,2,800,57,5737950,16,2,1
231,29,9,2,3,3,600,57,5769692,38,4,1
232,29,5,1,5,4,500,57,5772042,19,3,1
233,29,15,7,7,5,400,57,5783023,37,12,1
234,29,20,5,6,6,300,57,5784964,36,6,1
235,29,10,7,13,7,200,57,5800329,54,8,1
236,29,3,3,9,8,100,57,5803796,35,10,1
237,29,2,2,8,9,0,57,5814516,57,7,1
238,29,7,5,10,10,0,57,5822133,35,11,1
239,29,12,4,15,11,0,57,5825056,29,9,1
240,29,17,9,14,12,0,56,-1,27,14,11
241,29,18,11,16,13,0,56,-1,21,18,11
242,29,21,10,18,14,0,56,-1,54,15,11
243,29,6,3,11,15,0,56,-1,56,13,11
244,29,22,11,19,16,0,56,-1,56,16,11
245,29,14,9,17,17,0,56,-1,13,19,11
246,29,8,6,4,18,0,45,-1,34,5,5
247,29,16,10,20,19,0,41,-1,28,17,3
248,29,4,4,12,20,0,0,-1,-1,-1,4
249,30,13,6,2,1,1000,44,4979394,26,3,1
250,30,2,2,5,2,800,44,4988777,36,7,1
251,30,1,1,1,3,600,44,4989933,20,2,1
252,30,4,4,6,4,500,44,4993872,25,9,1
253,30,20,5,10,5,400,44,4993970,16,8,1
254,30,9,2,8,6,300,44,4994431,36,5,1
255,30,7,5,9,7,200,44,4996129,31,6,1
256,30,17,9,7,8,100,44,5022170,34,10,1
257,30,10,7,13,9,0,44,5046439,37,12,1
258,30,5,1,3,10,0,43,-1,35,4,6
259,30,14,9,14,11,0,43,-1,19,11,11
260,30,3,3,15,12,0,43,-1,32,15,11
261,30,16,10,18,13,0,43,-1,27,13,11
262,30,6,3,19,14,0,43,-1,35,17,11
263,30,18,11,17,15,0,43,-1,19,16,11
264,30,15,7,11,16,0,43,-1,32,14,11
265,30,21,10,20,17,0,43,-1,17,19,11
266,30,8,6,4,18,0,42,-1,24,1,20
267,30,22,11,16,19,0,19,-1,10,20,6
268,30,12,4,12,20,0,13,-1,12,18,20
269,31,20,5,1,1,1000,53,5207494,53,14,1
270,31,5,1,2,2,800,53,5220006,53,13,1
271,31,9,2,11,3,600,53,5227965,52,12,1
272,31,4,4,8,4,500,53,5231397,51,9,1
273,31,2,2,10,5,400,53,5235242,53,6,1
274,31,13,6,6,6,300,53,5236310,52,4,1
275,31,1,1,15,7,200,53,5237406,52,5,1
276,31,17,9,3,8,100,53,5239542,52,3,1
277,31,8,6,14,9,0,53,5246962,53,1,1
278,31,12,4,17,10,0,53,5261939,53,16,1
279,31,10,7,9,11,0,53,5266382,53,8,1
280,31,6,3,18,12,0,53,5269509,53,11,1
281,31,15,7,7,13,0,53,5273448,52,15,1
282,31,3,3,5,14,0,53,5276129,53,10,1
283,31,18,11,19,15,0,53,5280864,52,7,1
284,31,14,9,13,16,0,52,-1,49,17,11
285,31,22,11,16,17,0,52,-1,42,19,11
286,31,7,5,4,18,0,52,-1,52,2,11
287,31,16,10,20,19,0,51,-1,51,18,12
288,31,21,10,12,20,0,11,-1,6,20,3
289,32,4,4,15,1,1000,61,7036304,55,3,1
290,32,3,3,8,2,800,61,7039261,39,5,1
291,32,1,1,2,3,600,61,7042221,14,4,1
292,32,10,7,7,4,500,61,7044459,50,8,1
293,32,20,5,6,5,400,61,7046572,13,9,1
294,32,2,2,9,6,300,61,7047405,14,11,1
295,32,14,9,14,7,200,61,7052691,41,13,1
296,32,6,3,10,8,100,61,7054793,13,10,1
297,32,18,11,12,9,0,61,7056189,61,15,1
298,32,5,1,5,10,0,61,7063206,14,12,1
299,32,9,2,4,11,0,61,7064279,14,6,1
300,32,7,5,17,12,0,61,7065736,29,14,1
301,32,13,6,1,13,0,61,7071474,13,2,1
302,32,21,10,20,14,0,61,7079875,28,16,1
303,32,8,6,3,15,0,57,-1,14,1,3
304,32,15,7,11,16,0,50,-1,32,7,9
305,32,16,10,19,17,0,49,-1,38,18,3
306,32,17,9,13,18,0,29,-1,13,17,7
307,32,22,11,18,19,0,14,-1,13,19,26
308,32,12,4,16,20,0,13,-1,13,20,3
309,33,4,4,4,1,1000,67,5421892,41,3,1
310,33,9,2,6,2,800,67,5427175,16,7,1
311,33,8,6,2,3,600,67,5428292,66,2,1
312,33,12,4,12,4,500,67,5442462,54,4,1
313,33,15,7,7,5,400,67,5445659,18,9,1
314,33,20,5,9,6,300,67,5461099,21,12,1
315,33,13,6,5,7,200,67,5468050,55,1,1
316,33,17,9,13,8,100,67,5472703,30,13,1
