constructorResultsId,raceId,constructorId,points
342,50,9,500
343,50,2,200
344,50,12,100
345,50,5,0
346,50,11,0
347,50,7,0
348,50,8,0
349,50,3,0
350,51,6,1600
351,51,1,800
352,51,5,800
353,51,11,400
354,51,2,200
355,51,9,100
356,51,4,0
357,51,3,0
358,51,7,0
359,51,8,0
360,51,12,0
361,52,6,1800
362,52,1,800
363,52,3,500
364,52,2,700
365,52,7,100
366,52,9,0
367,52,8,0
368,52,5,0
369,52,12,0
370,52,11,0
371,52,4,0
372,53,4,1000
373,53,6,800
374,53,1,1000
375,53,11,500
376,53,3,500
377,53,9,100
378,53,5,0
379,53,2,0
380,53,7,0
381,53,13,0
382,53,8,0
383,54,4,1800
384,54,11,600
385,54,1,500
386,54,6,700
387,54,2,200
388,54,7,100
389,54,5,0
390,54,13,0
391,54,8,0
392,54,9,0
393,54,3,0
394,55,4,1400
395,55,1,800
396,55,7,600
397,55,2,800
398,55,11,200
399,55,9,100
400,55,5,0
401,55,13,0
402,55,8,0
403,55,6,0
404,55,3,0
405,56,6,1500
406,56,4,900
407,56,1,1000
408,56,3,300
409,56,11,200
410,56,7,0
411,56,2,0
412,56,5,0
413,56,13,0
414,56,9,0
415,56,8,0
416,57,6,1600
417,57,4,1100
418,57,1,500
419,57,11,400
420,57,3,200
421,57,2,100
422,57,7,0
423,57,5,0
424,57,13,0
425,57,8,0
426,57,9,0
427,58,4,1600
428,58,6,1300
429,58,1,400
430,58,11,500
431,58,2,100
432,58,3,0
433,58,7,0
434,58,9,0
435,58,5,0
436,58,13,0
437,58,8,0
438,59,4,1300
439,59,1,800
440,59,9,600
441,59,11,500
442,59,6,400
443,59,2,200
444,59,7,100
445,59,5,0
446,59,13,0
447,59,8,0
448,59,3,0
449,60,4,1500
450,60,6,1200
451,60,1,900
452,60,2,300
453,60,3,0
454,60,11,0
455,60,7,0
456,60,9,0
457,60,5,0
458,60,13,0
459,60,8,0
460,61,4,1500
461,61,6,1200
462,61,1,600
463,61,7,300
464,61,2,200
465,61,9,100
466,61,11,0
467,61,5,0
468,61,3,0
469,61,13,0
470,61,8,0
471,62,6,1800
472,62,4,1000
473,62,7,500
474,62,11,300
475,62,9,200
476,62,5,100
477,62,3,0
478,62,13,0
479,62,2,0
480,62,8,0
481,62,1,0
482,63,6,1600
483,63,4,1100
484,63,7,500
485,63,1,600
486,63,2,100
487,63,9,0
488,63,5,0
489,63,3,0
490,63,13,0
491,63,8,0
492,63,11,0
493,64,6,1800
494,64,1,600
495,64,11,500
496,64,4,700
497,64,7,200
498,64,9,100
499,64,5,0
500,64,3,0
501,64,8,0
502,64,2,0
503,64,13,0
504,65,11,1500
505,65,1,800
506,65,2,600
507,65,9,400
508,65,7,300
509,65,6,300
510,65,13,0
511,65,5,0
512,65,8,0
513,65,4,0
514,65,3,0
515,66,6,1600
516,66,4,1100
517,66,11,600
518,66,1,400
519,66,7,200
520,66,3,0
521,66,9,0
522,66,2,0
523,66,5,0
524,66,13,0
525,66,8,0
526,67,6,1000
527,67,1,800
528,67,2,700
529,67,4,500
530,67,11,700
531,67,7,200
532,67,3,0
533,67,9,0
534,67,5,0
535,67,8,0
536,67,14,0
537,68,6,1000
538,68,4,1400
539,68,11,800
540,68,1,400
541,68,2,200
542,68,3,100
543,68,9,0
544,68,5,0
545,68,14,0
546,68,8,0
547,68,7,0
548,69,4,1600
549,69,6,800
550,69,11,500
551,69,1,400
552,69,7,500
553,69,2,100
554,69,3,0
555,69,9,0
556,69,5,0
557,69,8,0
558,69,14,0
559,70,6,1500
560,70,4,1100
561,70,11,800
562,70,1,500
563,70,2,0
564,70,8,0
565,70,5,0
566,70,9,0
567,70,14,0
568,70,7,0
569,70,3,0
570,71,4,1600
571,71,6,800
572,71,9,700
573,71,3,400
574,71,1,400
575,71,7,0
576,71,15,0
577,71,16,0
578,71,17,0
579,71,18,0
580,72,4,1000
581,72,7,1200
582,72,3,600
583,72,1,500
584,72,9,400
585,72,6,200
586,72,15,0
587,72,17,0
588,72,18,0
589,72,16,0
590,73,4,1000
591,73,7,1300
592,73,1,1000
593,73,3,300
594,73,15,200
595,73,9,100
596,73,6,0
597,73,17,0
598,73,18,0
599,73,16,0
600,74,4,1000
601,74,6,800
602,74,1,600
603,74,15,500
604,74,7,400
605,74,3,500
606,74,9,100
607,74,17,0
608,74,18,0
609,74,16,0
610,75,1,1200
611,75,4,1200
612,75,7,1100
613,75,3,300
614,75,9,100
615,75,6,0
616,75,15,0
617,75,17,0
618,75,18,0
619,76,1,1400
620,76,3,1400
621,76,4,500
622,76,7,300
623,76,6,300
624,76,15,0
625,76,17,0
626,76,18,0
627,76,9,0
628,77,4,1300
629,77,3,800
630,77,6,1000
631,77,9,500
632,77,1,200
633,77,7,100
634,77,16,0
635,77,15,0
636,77,17,0
637,77,18,0
638,78,1,1000
639,78,6,1400
640,78,15,500
641,78,3,400
642,78,7,300
643,78,9,300
644,78,17,0
645,78,18,0
646,78,16,0
647,78,4,0
648,79,6,1800
649,79,17,1100
650,79,18,700
651,79,7,0
652,79,1,0
653,79,16,0
654,79,4,0
655,79,3,0
656,79,15,0
657,79,9,0
658,80,4,1300
659,80,1,800
660,80,6,600
661,80,16,500
662,80,7,600
663,80,15,100
664,80,9,0
665,80,3,0
666,80,17,0
667,80,18,0
668,81,1,1600
669,81,4,1300
670,81,16,400
671,81,6,500
672,81,7,100
673,81,15,0
674,81,3,0
675,81,9,0
676,81,17,0
677,81,18,0
678,82,4,1500
679,82,1,800
680,82,16,600
681,82,6,400
682,82,7,300
683,82,9,200
684,82,15,100
685,82,3,0
686,82,18,0
687,82,17,0
688,83,1,1000
689,83,6,800
690,83,7,1100
691,83,16,500
692,83,3,500
693,83,4,0
694,83,17,0
695,83,15,0
696,83,18,0
697,83,9,0
698,84,1,1600
699,84,4,1300
700,84,16,400
701,84,7,300
702,84,9,300
703,84,6,0
704,84,15,0
705,84,18,0
706,84,17,0
707,84,3,0
708,85,1,1500
709,85,4,1400
710,85,7,700
711,85,3,200
712,85,16,100
713,85,15,0
714,85,6,0
715,85,9,0
716,85,17,0
717,85,18,0
718,86,1,1000
719,86,4,800
720,86,16,600
721,86,3,500
722,86,6,400
723,86,15,300
724,86,7,200
725,86,17,100
726,86,9,0
727,86,18,0
728,87,1,1800
729,87,4,1000
730,87,6,800
731,87,16,200
732,87,7,100
733,87,9,0
734,87,15,0
735,87,18,0
736,87,17,0
737,87,3,0
738,88,1,1000
739,88,4,1400
740,88,3,500
741,88,16,400
742,88,9,300
743,88,6,200
744,88,7,100
745,88,15,0
746,88,17,0
747,88,18,0
748,89,4,1500
749,89,1,800
750,89,7,600
751,89,9,400
752,89,15,300
753,89,3,200
754,89,16,100
755,89,17,0
756,89,6,0
757,89,18,0
758,90,6,1800
759,90,4,800
760,90,3,900
761,90,16,300
762,90,1,100
763,90,15,0
764,90,19,0
765,90,7,0
766,90,17,0
767,90,18,0
768,91,6,1500
769,91,3,800
770,91,16,600
771,91,4,600
772,91,1,300
773,91,15,100
774,91,7,0
775,91,19,0
776,91,17,0
777,91,18,0
778,92,6,1800
779,92,16,1000
780,92,4,800
781,92,3,200
782,92,19,100
783,92,7,0
784,92,15,0
785,92,17,0
786,92,18,0
787,92,1,0
788,93,6,1300
789,93,16,800
790,93,3,800
791,93,4,900
792,93,1,100
793,93,15,0
794,93,7,0
795,93,19,0
796,93,18,0
797,93,17,0
798,94,6,1800
799,94,4,1100
800,94,16,500
801,94,3,300
802,94,15,200
803,94,1,0
804,94,19,0
805,94,7,0
806,94,17,0
807,94,18,0
808,95,4,1000
809,95,16,800
810,95,6,600
811,95,3,500
812,95,15,400
813,95,7,400
814,95,17,200
815,95,18,0
816,95,1,0
817,95,19,0
818,96,6,1800
819,96,16,600
820,96,4,900
821,96,15,300
822,96,19,200
823,96,3,100
824,96,17,0
825,96,7,0
826,96,18,0
827,96,1,0
828,97,6,1800
829,97,16,600
830,97,15,500
831,97,1,700
832,97,17,300
833,97,19,0
834,97,18,0
835,97,4,0
836,97,3,0
837,97,7,0
838,98,6,1800
839,98,16,600
840,98,4,500
841,98,7,400
842,98,1,500
843,98,18,100
844,98,15,0
845,98,19,0
846,98,3,0
847,98,17,0
848,99,6,1600
849,99,4,1300
850,99,16,400
851,99,1,500
852,99,3,100
853,99,19,0
854,99,15,0
855,99,7,0
856,99,17,0
857,99,18,0
858,100,6,1600
859,100,1,1000
860,100,16,500
861,100,3,400
862,100,15,300
863,100,19,100
864,100,4,0
865,100,7,0
866,100,17,0
867,100,18,0
868,101,6,1000
869,101,16,900
870,101,4,600
871,101,1,500
872,101,3,600
873,101,19,300
874,101,15,0
875,101,7,0
876,101,17,0
877,101,18,0
878,102,6,1800
879,102,4,600
880,102,3,700
881,102,16,700
882,102,15,100
883,102,1,0
884,102,19,0
885,102,7,0
886,102,17,0
887,102,18,0
888,103,1,1200
889,103,6,1400
890,103,15,900
891,103,19,300
892,103,7,100
893,103,4,0
894,103,17,0
895,103,3,0
896,103,16,0
897,103,18,0
898,104,6,1800
899,104,16,1100
900,104,3,600
901,104,1,300
902,104,15,100
903,104,19,0
904,104,4,0
905,104,7,0
906,104,17,0
907,104,18,0
908,105,6,1000
909,105,16,1100
910,105,1,600
911,105,4,500
912,105,3,400
913,105,15,300
914,105,19,0
915,105,17,0
916,105,7,0
917,105,18,0
918,106,6,1000
919,106,3,1000
920,106,16,1100
921,106,4,400
922,106,1,300
923,106,15,100
924,106,7,0
925,106,19,0
926,106,17,0
927,106,18,0
928,107,3,1400
929,107,1,800
930,107,6,800
931,107,4,500
932,107,16,300
933,107,15,100
934,107,7,0
935,107,19,0
936,107,17,0
937,107,18,0
938,108,1,1600
939,108,3,900
940,108,6,500
941,108,4,600
942,108,15,300
943,108,16,0
944,108,18,0
945,108,17,0
946,108,19,0
947,108,7,0
948,109,1,1000
949,109,6,1100
950,109,4,1000
951,109,3,500
952,109,16,200
953,109,15,100
954,109,17,0
955,109,7,0
956,109,18,0
957,109,19,0
958,110,17,1000
959,110,1,1300
960,110,4,700
961,110,15,400
962,110,16,300
963,110,3,200
964,110,19,0
965,110,7,0
966,110,6,0
967,110,18,0
968,111,6,1600
969,111,1,1200
970,111,3,700
971,111,4,300
972,111,16,100
973,111,7,0
974,111,15,0
975,111,19,0
976,111,17,0
977,111,18,0
978,112,6,1600
979,112,4,800
980,112,3,900
981,112,7,300
982,112,19,200
983,112,17,100
984,112,16,0
985,112,15,0
986,112,18,0
987,112,1,0
988,113,6,1600
989,113,1,1200
990,113,16,500
991,113,3,300
992,113,19,200
993,113,4,100
994,113,7,0
995,113,17,0
996,113,18,0
997,113,15,0
998,114,3,1500
999,114,1,1000
1000,114,6,700
1001,114,4,700
1002,114,7,0
1003,114,17,0
1004,114,15,0
1005,114,16,0
1006,114,18,0
1007,114,19,0
1008,115,6,1400
1009,115,3,1400
1010,115,4,500
1011,115,1,300
1012,115,19,200
1013,115,7,100
1014,115,18,0
1015,115,16,0
1016,115,15,0
1017,115,17,0
1018,116,3,1800
1019,116,6,1000
1020,116,4,500
1021,116,19,300
1022,116,16,200
1023,116,15,100
1024,116,17,0
1025,116,18,0
1026,116,1,0
1027,116,7,0
1028,117,3,1800
1029,117,6,800
1030,117,1,900
1031,117,19,300
1032,117,7,100
1033,117,16,0
1034,117,15,0
1035,117,18,0
1036,117,17,0
1037,117,4,0
1038,118,6,1500
1039,118,3,800
1040,118,1,1000
1041,118,4,300
1042,118,7,200
1043,118,16,100
1044,118,15,0
1045,118,17,0
1046,118,19,0
1047,118,18,0
1048,119,3,1000
1049,119,1,800
1050,119,4,1100
1051,119,7,700
1052,119,6,200
1053,119,16,100
1054,119,15,0
1055,119,19,0
1056,119,18,0
1057,119,17,0
1058,120,4,1200
1059,120,1,1200
1060,120,3,1100
1061,120,19,300
1062,120,6,100
1063,120,15,0
1064,120,16,0
1065,120,7,0
1066,120,18,0
1067,120,17,0
1068,121,6,1600
1069,121,3,1200
1070,121,1,500
1071,121,16,300
1072,121,19,200
1073,121,4,100
1074,121,15,0
1075,121,17,0
1076,121,18,0
1077,121,7,0
1078,122,6,1000
1079,122,1,800
1080,122,15,1000
1081,122,4,500
1082,122,3,300
1083,122,17,200
1084,122,19,100
1085,122,7,0
1086,122,18,0
1087,122,16,0
1088,123,6,1100
1089,123,1,1400
1090,123,16,800
1091,123,4,400
1092,123,7,200
1093,123,15,0
1094,123,19,0
1095,123,3,0
1096,123,17,0
1097,123,18,0
1098,124,6,1000
1099,124,3,600
1100,124,1,400
1101,124,19,300
1102,124,18,200
1103,124,7,100
1104,124,16,0
1105,124,21,0
1106,124,17,0
1107,124,4,0
1108,124,15,0
1109,125,3,1600
1110,125,6,400
1111,125,4,300
1112,125,15,300
1113,125,7,0
1114,125,16,0
1115,125,17,0
1116,125,19,0
1117,125,21,0
1118,125,18,0
1119,125,1,0
1120,126,6,1000
1121,126,3,800
1122,126,1,400
1123,126,4,300
1124,126,7,100
1125,126,19,0
1126,126,17,0
1127,126,16,0
1128,126,18,0
1129,126,15,0
1130,126,21,0
1131,127,6,1600
1132,127,3,700
1133,127,4,200
1134,127,1,100
1135,127,16,0
1136,127,15,0
1137,127,18,0
1138,127,21,0
1139,127,19,0
1140,127,7,0
1141,127,17,0
1142,128,6,1000
1143,128,3,600
1144,128,1,400
1145,128,15,500
1146,128,21,100
1147,128,16,0
1148,128,7,0
1149,128,4,0
1150,128,19,0
1151,128,17,0
1152,128,18,0
1153,129,6,1600
1154,129,3,700
1155,129,17,200
1156,129,1,100
1157,129,4,0
