gameid,leagueid,hometeamid,awayteamid,year,homegoals,awaygoals
292,1,88,78,2016,4,0
293,1,86,81,2016,2,1
294,1,74,76,2016,3,0
295,1,80,72,2016,3,3
296,1,73,79,2016,3,0
297,1,71,75,2016,1,1
298,1,87,89,2016,0,1
299,1,85,83,2016,0,0
300,1,84,90,2016,1,0
301,1,79,87,2016,4,5
302,1,78,82,2016,1,3
303,1,89,74,2016,0,1
304,1,75,85,2016,3,0
305,1,76,71,2016,0,0
306,1,77,73,2016,1,1
307,1,90,86,2016,2,1
308,1,81,88,2016,2,2
309,1,72,84,2016,1,2
310,1,83,80,2016,0,1
311,1,83,74,2016,0,0
312,1,75,87,2016,2,0
313,1,79,82,2016,0,3
314,1,77,88,2016,0,1
315,1,81,71,2016,2,0
316,1,78,73,2016,1,2
317,1,89,85,2016,3,0
318,1,76,84,2016,1,1
319,1,72,86,2016,3,0
320,1,90,80,2016,0,0
321,1,88,75,2016,1,3
322,1,86,76,2016,1,0
323,1,85,72,2016,0,3
324,1,82,90,2016,1,0
325,1,84,78,2016,1,1
326,1,71,79,2016,2,0
327,1,87,77,2016,2,2
328,1,74,81,2016,1,0
329,1,73,83,2016,0,2
330,1,80,89,2016,1,1
331,1,77,89,2016,2,1
332,1,84,74,2016,0,1
333,1,79,81,2016,2,2
334,1,72,76,2016,0,1
335,1,78,90,2016,1,2
336,1,73,85,2016,1,3
337,1,80,86,2016,5,1
338,1,83,75,2016,2,1
339,1,71,87,2016,0,6
340,1,88,82,2016,1,2
341,1,81,77,2016,1,0
342,1,90,73,2016,0,0
343,1,75,79,2016,1,0
344,1,74,80,2016,1,2
345,1,85,71,2016,2,1
346,1,76,78,2016,3,2
347,1,82,84,2016,2,1
348,1,89,83,2016,3,2
349,1,71,72,2016,1,3
350,1,73,74,2016,2,0
351,1,75,76,2016,2,2
352,1,77,78,2016,2,2
353,1,79,80,2016,1,2
354,1,81,82,2016,1,0
355,1,83,84,2016,1,2
356,1,85,86,2016,1,0
357,1,87,88,2016,3,0
358,1,89,90,2016,1,0
359,1,82,83,2016,2,2
360,1,74,77,2016,1,1
361,1,84,79,2016,1,0
362,1,80,85,2016,1,1
363,1,72,81,2016,2,3
364,1,88,71,2016,4,0
365,1,86,73,2016,1,3
366,1,90,75,2016,0,1
367,1,78,87,2016,1,2
368,1,76,89,2016,1,0
369,1,79,88,2016,0,0
370,1,85,74,2016,1,2
371,1,73,84,2016,3,2
372,1,71,82,2016,0,2
373,1,75,86,2016,1,0
374,1,72,83,2016,0,2
375,1,78,75,2016,0,1
376,1,80,81,2016,2,2
377,1,90,85,2016,1,2
378,1,76,79,2016,0,1
379,1,84,71,2016,1,0
380,1,74,87,2016,3,2
381,1,86,77,2016,1,1
382,1,88,89,2016,0,1
383,1,82,73,2016,3,0
384,1,71,80,2016,0,4
385,1,83,90,2016,4,0
386,1,73,88,2016,0,4
387,1,79,86,2016,3,2
388,1,85,84,2016,2,2
389,1,77,76,2016,0,0
390,1,81,78,2016,2,2
391,1,87,82,2016,1,1
392,1,75,74,2016,1,0
393,1,89,72,2016,1,0
394,1,81,83,2016,3,3
395,1,90,72,2016,1,1
396,1,74,86,2016,3,1
397,1,84,80,2016,1,0
398,1,71,73,2016,1,2
399,1,78,79,2016,1,0
400,1,88,76,2016,2,1
401,1,77,75,2016,0,2
402,1,82,89,2016,3,0
403,1,87,85,2016,4,1
404,1,78,72,2016,0,0
405,1,79,77,2016,0,3
406,1,89,71,2016,1,0
407,1,72,74,2016,1,1
408,1,86,84,2016,3,0
409,1,76,90,2016,0,1
410,1,80,88,2016,0,3
411,1,75,81,2016,2,2
412,1,73,87,2016,1,2
413,1,83,78,2016,1,1
414,1,85,82,2016,0,4
415,1,86,88,2016,1,1
416,1,81,90,2016,3,1
417,1,89,78,2016,2,0
418,1,87,72,2016,4,0
